,,Hà Nội,Hải Phòng,Hải Dương,Quảng Ninh,Bắc Giang,Thái Nguyên,Lạng Sơn,Bắc Ninh,Hà Nam,Nam Định
Hà Nội,'000084,0.0,88.17833748989212,51.79642755548479,147.52718174973757,44.489039890312185,62.69338199336996,130.1976913886913,27.856478528718572,47.24470030935695,74.01448595433642
Hải Phòng,'000083,88.17833748989212,0.0,36.407687498478026,63.73755577897871,68.16154550758453,118.74467992706815,109.21056997174654,73.78325770742704,78.85019008100551,72.5366073307556
Hải Dương,'000085,51.79642755548479,36.407687498478026,0.0,97.06690901115634,39.88743124479283,88.83178344187486,109.04288452856844,39.85739087154315,52.70116746673417,59.91955533304561
Quảng Ninh,'000086,147.52718174973757,63.73755577897871,97.06690901115634,0.0,115.5600824874495,161.10925569455253,106.20486492185233,127.11694283534996,142.490022054945,132.8495031453017
Bắc Giang,'000087,44.489039890312185,68.16154550758453,39.88743124479283,115.5600824874495,0.0,50.626387523581855,86.17552565149178,16.654441344164404,76.20756801979866,93.72268495208448
Thái Nguyên,'000088,62.69338199336996,118.74467992706815,88.83178344187486,161.10925569455253,50.626387523581855,0.0,98.08535456885784,50.43627444455961,109.07075287095581,133.42674170376498
Lạng Sơn,'000089,130.1976913886913,109.21056997174654,109.04288452856844,106.20486492185233,86.17552565149178,98.08535456885784,0.0,102.49599026132856,158.61819110077118,168.8269505072093
Bắc Ninh,'000090,27.856478528718572,73.78325770742704,39.85739087154315,127.11694283534996,16.654441344164404,50.43627444455961,102.49599026132856,0.0,63.767300536955524,84.74906767091369
Hà Nam,'000091,47.24470030935695,78.85019008100551,52.70116746673417,142.490022054945,76.20756801979866,109.07075287095581,158.61819110077118,63.767300536955524,0.0,28.950357277867237
Nam Định,'000092,74.01448595433642,72.5366073307556,59.91955533304561,132.8495031453017,93.72268495208448,133.42674170376498,168.8269505072093,84.74906767091369,28.950357277867237,0.0
