PackageID,Address,MassKILO,Special Notes
1,Bắc Ninh,21,
2,Hà Nam,44,
3,Bắc Ninh,2,
4,Bắc Giang,4,
5,Bắc Ninh,5,
6,Quảng Ninh,88,
7,Thái Nguyên,8,
8,Hà Nam,9,
9,Lạng Sơn,2,
10,Hải Phòng,1,
11,Bắc Giang,1,
12,Bắc Giang,1,
13,Hà Nam,2,
14,Hải Dương,88,""
15,Hải Dương,4,
16,Bắc Ninh,88,""
17,Lạng Sơn,2,
18,Hải Dương,6,
19,Nam Định,37,
20,Nam Định,37,""
21,Bắc Giang,3,
22,Nam Định,2,
23,Thái Nguyên,5,
24,Bắc Ninh,7,
25,Bắc Ninh,7,
26,Hải Phòng,25,
27,Bắc Ninh,5,
28,Hải Dương,7,
29,Hải Dương,2,
30,Thái Nguyên,1,
31,Lạng Sơn,1,
32,Hải Dương,1,
33,Quảng Ninh,1,
34,Hải Dương,2,
35,Bắc Giang,88,
36,Thái Nguyên,88,
37,Bắc Giang,2,
38,Quảng Ninh,9,
39,Hải Phòng,9,
40,Hải Phòng,45,
